name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,zone_id
Lot 1C,2733,691084250.0,,parking,,,"POLYGON ((-76.9513972 38.9852414, -76.9498523 38.9852014, -76.94988600000001 38.9861929, -76.9512972 38.9862292, -76.95132719999999 38.9862291, -76.95133319999999 38.9861471, -76.951381 38.9860411, -76.9513972 38.9852414))",POINT (-76.95062497499892 38.98571189751294),14389.5,27
Lot 9b,11,23502765.0,,parking,,,"POLYGON ((-76.93850740000001 38.9937306, -76.9389068 38.9937195, -76.93965059999999 38.9937061, -76.9399109 38.9937014, -76.9399251 38.9938344, -76.9398736 38.9938344, -76.9398831 38.9943918, -76.93989070000001 38.9947883, -76.9385417 38.9948246, -76.9385261 38.9943187, -76.93851050000001 38.9938165, -76.93850740000001 38.9937306))",POINT (-76.93920457994798 38.99425777439218),14289.3,21
Lot Z,495,235958904.0,,parking,,,"POLYGON ((-76.9488874 38.9872897, -76.94974759999999 38.9872731, -76.9497241 38.9889906, -76.9488626 38.9889907, -76.9488624 38.9883532, -76.94888039999999 38.9880203, -76.9488874 38.9872897))",POINT (-76.94930530569171 38.98813759483334),14165.0,27
Animal Science/Agricultural Engineering Building,2826,,8649619.0,university,,,"MULTIPOLYGON (((-76.939021 38.9913675, -76.93901839999999 38.9912899, -76.93901750000001 38.9912621, -76.9390806 38.9912593, -76.93907799999999 38.9911483, -76.93947540000001 38.9911448, -76.9395408 38.9911442, -76.9395428 38.9910907, -76.93959580000001 38.9910911, -76.93959630000001 38.9910459, -76.93983249999999 38.9910442, -76.9398308 38.9910258, -76.93983059999999 38.9909863, -76.9403343 38.9909869, -76.9403332 38.9911053, -76.9403358 38.9912163, -76.9402812 38.9912165, -76.9402807 38.9912517, -76.9398892 38.991255, -76.9398879 38.9913666, -76.939888 38.9913877, -76.94011500000001 38.9913873, -76.9401146 38.9914645, -76.9401215 38.9920903, -76.93990479999999 38.9920904, -76.9399039 38.9921185, -76.9398384 38.9921203, -76.9398369 38.9920947, -76.9396307 38.9920951, -76.9396311 38.992228, -76.9392975 38.9922288, -76.93929780000001 38.9921021, -76.9392443 38.9921022, -76.9391705 38.9921024, -76.93909379999999 38.9921015, -76.9390897 38.992301, -76.9386368 38.9923062, -76.9386366 38.9918931, -76.93885969999999 38.9918948, -76.9388575 38.9913948, -76.9389468 38.9913965, -76.9390228 38.9913936, -76.939021 38.9913675)))",POINT (-76.93947718364846 38.99165942436998),13754.5,21
,2761,697402922.0,,parking,,,"POLYGON ((-76.9338843 38.9875388, -76.9347507 38.9862253, -76.9341914 38.9860012, -76.9340909 38.9861347, -76.93384949999999 38.9860429, -76.9336349 38.9864046, -76.93336669999999 38.9863181, -76.9333197 38.986488, -76.93340019999999 38.9869008, -76.9335705 38.9873063, -76.9337475 38.9875659, -76.9338843 38.9875388))",POINT (-76.93395226082605 38.98668730629518),11716.9,30
,2829,,8676516.0,yes,,,"MULTIPOLYGON (((-76.934124 38.9909406, -76.93369389999999 38.9918589, -76.9339453 38.9919297, -76.9347617 38.9921621, -76.9349933 38.9916413, -76.9348841 38.9916119, -76.93509229999999 38.9911436, -76.93497859999999 38.9911127, -76.9349022 38.9910829, -76.93483999999999 38.9910524, -76.93478349999999 38.9910131, -76.9347346 38.9909751, -76.9346871 38.990915, -76.9345823 38.9908536, -76.9345167 38.9908182, -76.93445079999999 38.9908005, -76.93438209999999 38.9907729, -76.93436060000001 38.9907883, -76.93434499999999 38.9907999, -76.9343008 38.9908131, -76.9342503 38.9908206, -76.93421119999999 38.9908195, -76.93417530000001 38.990812, -76.934124 38.9909406)))",POINT (-76.93442588984539 38.99148596227572),11498.3,22
Eppley Recreation Center,35,23545077.0,,yes,,,"POLYGON ((-76.9459306 38.9940112, -76.9461314 38.9940113, -76.9461314 38.9939885, -76.9461314 38.9938561, -76.9461317 38.9935477, -76.9461314 38.9935196, -76.94613099999999 38.9934884, -76.9461314 38.9933143, -76.9459559 38.9933143, -76.9459559 38.9931786, -76.94545050000001 38.9931785, -76.94545050000001 38.9931263, -76.9452715 38.9931263, -76.9452714 38.9934166, -76.9450549 38.9934166, -76.9448556 38.9934166, -76.9448556 38.9933217, -76.9443756 38.9933217, -76.9443756 38.9934558, -76.9443335 38.9934558, -76.9443335 38.9934738, -76.9443138 38.9934738, -76.9442787 38.9934738, -76.9442787 38.9935194, -76.9442787 38.9935394, -76.9443345 38.9935394, -76.9443345 38.9936046, -76.9443744 38.9936046, -76.9443744 38.9938565, -76.9443744 38.9939412, -76.94484970000001 38.9939412, -76.9459306 38.9939413, -76.9459306 38.9940112))",POINT (-76.94529282075327 38.99360770695135),11351.5,20
Lot 1B,1,23408806.0,,parking,,,"POLYGON ((-76.94916480000001 38.9851748, -76.94952960000001 38.9851748, -76.94972319999999 38.9851747, -76.9497234 38.9860904, -76.9497236 38.9868337, -76.9497283 38.9871345, -76.9491658 38.9871196, -76.94916480000001 38.9851748))",POINT (-76.94944489677299 38.98615130054866),10478.6,27
,90,23889495.0,,university,,,"POLYGON ((-76.94019110000001 38.9892519, -76.9401506 38.9892541, -76.9401486 38.9892197, -76.9401041 38.9892196, -76.9400449 38.9892194, -76.939125 38.9892171, -76.9391244 38.9892547, -76.939049 38.9892558, -76.939049 38.9891555, -76.93890469999999 38.9891553, -76.938813 38.9891522, -76.9388165 38.9895408, -76.93882259999999 38.9898934, -76.9389486 38.9898921, -76.93905410000001 38.9898915, -76.93904620000001 38.9893187, -76.93912400000001 38.9893161, -76.93912400000001 38.9894028, -76.939153 38.9894023, -76.93937149999999 38.9893988, -76.9393725 38.9894362, -76.9393299 38.9894369, -76.9393365 38.9899943, -76.93948589999999 38.9899948, -76.93953860000001 38.9899949, -76.9395387 38.9899615, -76.9395612 38.9899616, -76.9396545 38.9899619, -76.93965439999999 38.989992, -76.9399219 38.989991, -76.9399224 38.990046, -76.94048840000001 38.990037, -76.9404873 38.9899354, -76.9404862 38.9898132, -76.9401862 38.9898092, -76.9401896 38.9897475, -76.9401903 38.9896737, -76.94043720000001 38.9896718, -76.94043430000001 38.989443, -76.9404282 38.9894347, -76.94041540000001 38.9894291, -76.9402243 38.9893933, -76.9401968 38.9893941, -76.9401962 38.9893677, -76.94022440000001 38.9893682, -76.9402233 38.9893461, -76.94022390000001 38.9892983, -76.9402224 38.9892585, -76.9401902 38.9892598, -76.94019110000001 38.9892519))",POINT (-76.93967784618592 38.98960005531244),9815.0,29
Chemistry Building,2822,,2063641.0,university,,,"MULTIPOLYGON (((-76.94019110000001 38.9892519, -76.9401506 38.9892541, -76.9401486 38.9892197, -76.9401041 38.9892196, -76.9400449 38.9892194, -76.939125 38.9892171, -76.9391244 38.9892547, -76.939049 38.9892558, -76.939049 38.9891555, -76.93890469999999 38.9891553, -76.938813 38.9891522, -76.9388165 38.9895408, -76.93882259999999 38.9898934, -76.9389486 38.9898921, -76.93905410000001 38.9898915, -76.93904620000001 38.9893187, -76.93912400000001 38.9893161, -76.93912400000001 38.9894028, -76.939153 38.9894023, -76.93937149999999 38.9893988, -76.9393725 38.9894362, -76.9393299 38.9894369, -76.9393365 38.9899943, -76.93948589999999 38.9899948, -76.93953860000001 38.9899949, -76.9395387 38.9899615, -76.9395612 38.9899616, -76.9396545 38.9899619, -76.93965439999999 38.989992, -76.9399219 38.989991, -76.9399224 38.990046, -76.94048840000001 38.990037, -76.9404873 38.9899354, -76.9404862 38.9898132, -76.9401862 38.9898092, -76.9401896 38.9897475, -76.9401903 38.9896737, -76.94043720000001 38.9896718, -76.94043430000001 38.989443, -76.9404282 38.9894347, -76.94041540000001 38.9894291, -76.9402243 38.9893933, -76.9401968 38.9893941, -76.9401962 38.9893677, -76.94022440000001 38.9893682, -76.9402233 38.9893461, -76.94022390000001 38.9892983, -76.9402224 38.9892585, -76.9401902 38.9892598, -76.94019110000001 38.9892519)))",POINT (-76.93967784618592 38.98960005531244),9815.0,29
Regents Drive Parking Garage,29,23544624.0,,parking,,,"POLYGON ((-76.9419777 38.9902572, -76.9419618 38.9892997, -76.9419273 38.9893007, -76.9419247 38.9892684, -76.941912 38.9892685, -76.94189540000001 38.9892687, -76.9418907 38.9892426, -76.9418773 38.9892225, -76.94185520000001 38.9892074, -76.9418227 38.9891996, -76.94180660000001 38.9892004, -76.9418051 38.9891709, -76.9417856 38.9891704, -76.9414666 38.9891709, -76.9410385 38.9891712, -76.9410385 38.9891996, -76.9410163 38.9891996, -76.9409428 38.9891996, -76.9409428 38.9892239, -76.9409428 38.9892511, -76.940943 38.9894244, -76.940943 38.9895445, -76.94094339999999 38.9896846, -76.9409438 38.9898048, -76.9409441 38.989835, -76.9409781 38.9898347, -76.94097979999999 38.9898766, -76.9410006 38.9898756, -76.9410177 38.9899138, -76.9410307 38.9899262, -76.9410505 38.9899363, -76.9410805 38.9899435, -76.94108110000001 38.9899633, -76.9413576 38.9901714, -76.9414084 38.9901698, -76.9414105 38.9901878, -76.94142429999999 38.9902118, -76.9414409 38.990225, -76.94146069999999 38.9902314, -76.941489 38.9902385, -76.9414924 38.9902917, -76.9416683 38.9902917, -76.9417155 38.9902917, -76.9419283 38.9902909, -76.94194589999999 38.990291, -76.9419462 38.990257, -76.9419777 38.9902572))",POINT (-76.94149261627993 38.98968698899763),9666.8,29
School of Public Health,37,23545670.0,,university,,,"POLYGON ((-76.94408110000001 38.9932037, -76.943682 38.9932036, -76.943682 38.9934091, -76.94356190000001 38.9934091, -76.94356190000001 38.993449, -76.9434316 38.993449, -76.9433909 38.993449, -76.9433909 38.9931823, -76.94302980000001 38.9931823, -76.94302980000001 38.9932223, -76.94296110000001 38.9932223, -76.94296110000001 38.993189, -76.9428238 38.993189, -76.9428238 38.9931423, -76.9427895 38.9931423, -76.9427895 38.9931874, -76.9424593 38.9931873, -76.94224579999999 38.9931873, -76.94224579999999 38.993358, -76.9422431 38.9936606, -76.9424842 38.9936633, -76.94248349999999 38.9936992, -76.9425324 38.9936997, -76.9425306 38.9936654, -76.9426102 38.9936653, -76.9426136 38.9937977, -76.9429444 38.9937987, -76.9429444 38.993842, -76.9435795 38.9938421, -76.9435795 38.9937787, -76.94394509999999 38.9937787, -76.94394509999999 38.9936121, -76.94394509999999 38.9935909, -76.944081 38.9935909, -76.944081 38.9935125, -76.94408110000001 38.9932037))",POINT (-76.94314177197779 38.99349733017078),9504.9,21
,2813,746447345.0,,parking,,,"POLYGON ((-76.94131400000001 38.9805126, -76.9413151 38.9802025, -76.9412389 38.9802029, -76.9412403 38.9801539, -76.9392809 38.9798735, -76.93923940000001 38.9800455, -76.9393869 38.9800684, -76.9392568 38.9805855, -76.9398147 38.9806679, -76.939804 38.9808785, -76.9398563 38.9809734, -76.9399421 38.9810255, -76.939981 38.9810286, -76.9405241 38.9810151, -76.9410834 38.9809942, -76.941255 38.98099, -76.9413234 38.9809692, -76.9413459 38.980952, -76.9413425 38.9809288, -76.9412423 38.9808592, -76.9411625 38.9808675, -76.94096740000001 38.9808733, -76.9408111 38.9808759, -76.9404162 38.9808837, -76.9400279 38.9808926, -76.9399615 38.9808493, -76.9399434 38.9807987, -76.9399408 38.9807174, -76.9399495 38.9806429, -76.93998569999999 38.9806215, -76.9400407 38.9806179, -76.94017409999999 38.9806215, -76.9404839 38.9806199, -76.9407763 38.980645, -76.9407937 38.9805407, -76.94051880000001 38.9805157, -76.9401701 38.9805105, -76.94002260000001 38.9805115, -76.9399944 38.9804928, -76.94001849999999 38.9803749, -76.9394901 38.9802957, -76.9395478 38.9800424, -76.94085269999999 38.9802207, -76.9408178 38.9805032, -76.94131400000001 38.9805126))",POINT (-76.94023884768288 38.98045427698547),9183.5,37
Shuttle Bus Facility,219,25164353.0,,parking,,,"POLYGON ((-76.93736579999999 38.9957255, -76.93733709999999 38.9956542, -76.9373332 38.9956446, -76.93713820000001 38.9956569, -76.9371316 38.9955941, -76.93680019999999 38.995615, -76.9367848 38.9954664, -76.9371184 38.9954453, -76.937112 38.9953837, -76.9373049 38.9953715, -76.9373032 38.9953623, -76.9372927 38.9952809, -76.9372351 38.9952783, -76.9371221 38.9951791, -76.9359597 38.9952575, -76.93596169999999 38.9953607, -76.9357578 38.9953961, -76.9357418 38.9954712, -76.9356294 38.9955688, -76.9356573 38.9958474, -76.93592409999999 38.9958266, -76.9360709 38.9959194, -76.9374232 38.9958409, -76.93736579999999 38.9957255))",POINT (-76.93647592989304 38.99556963777579),8986.1,14
The Hotel,580,571025620.0,,university,,,"POLYGON ((-76.93599330000001 38.9868423, -76.93557180000001 38.9874622, -76.93551239999999 38.9875517, -76.93443019999999 38.9871222, -76.9344526 38.987087, -76.93492639999999 38.986344, -76.935185 38.9864324, -76.9352811 38.9864675, -76.9351631 38.9866683, -76.93550430000001 38.9868004, -76.9356959 38.9868737, -76.9357541 38.9867746, -76.93581279999999 38.9867976, -76.93583030000001 38.9867747, -76.93599330000001 38.9868423))",POINT (-76.93517973013873 38.98698546861898),8948.5,30
,465,235769668.0,,parking,,,"POLYGON ((-76.955361 39.0037443, -76.9550472 39.0035109, -76.954618 39.0033504, -76.954213 39.0033045, -76.95390190000001 39.0033149, -76.9537141 39.0033671, -76.95402799999999 39.0041299, -76.95426399999999 39.0041174, -76.95450270000001 39.0041925, -76.9548568 39.0039653, -76.9550418 39.0039382, -76.955361 39.0037443))",POINT (-76.95445476037693 39.00370875840866),8913.8,2
Landmark,2830,,9556881.0,apartments,,,"MULTIPOLYGON (((-76.93636549999999 38.9819229, -76.9363096 38.98208, -76.936108 38.9826463, -76.9366266 38.9827604, -76.93663119999999 38.9827453, -76.9375737 38.9826445, -76.93767990000001 38.9826438, -76.9376896 38.9821998, -76.9376322 38.982198, -76.9375824 38.9821978, -76.93757239999999 38.9822025, -76.93732110000001 38.9821438, -76.93709320000001 38.9820923, -76.93710059999999 38.9820725, -76.9370316 38.9820569, -76.9369574 38.9820401, -76.93695169999999 38.9820554, -76.93636549999999 38.9819229)))",POINT (-76.93688065150589 38.9823842759698),8912.9,38
Lot 1d,2841,,9712001.0,,parking,,"MULTIPOLYGON (((-76.94990540000001 38.9867596, -76.9501417 38.9867693, -76.9507389 38.9869397, -76.9508799 38.986908, -76.9511033 38.9868111, -76.9513439 38.9866795, -76.9513731 38.9862707, -76.9513319 38.9862675, -76.95132719999999 38.9862291, -76.9512972 38.9862292, -76.9511809 38.9862286, -76.94988600000001 38.9861929, -76.9498866 38.9862355, -76.9499467 38.9862688, -76.9499553 38.9863155, -76.9498916 38.9863155, -76.94990540000001 38.9867596)))",POINT (-76.9506241750189 38.9865241617153),8581.6,27
,472,235770838.0,,parking,,,"POLYGON ((-76.9409435 39.0034564, -76.9408482 39.0032223, -76.94111100000001 39.0023031, -76.9417172 39.0024198, -76.9414383 39.0033619, -76.94172159999999 39.0034034, -76.94213139999999 39.0034635, -76.942368 39.0035048, -76.94250769999999 39.0035299, -76.9424441 39.0037017, -76.9409435 39.0034564))",POINT (-76.9414112668704 39.00304377140506),8519.0,5
