zone_id,geometry
2391,POINT (-112.500226 33.342796)
2812,POINT (-112.495547 33.312475)
1901,POINT (-112.49829 33.327021)
3446,POINT (-112.478792 33.326619)
2744,POINT (-112.473021 33.302718)
2755,POINT (-112.463073 33.333493)
2708,POINT (-112.47965400000001 33.344818)
1735,POINT (-112.46131899999999 33.355554999999995)
1878,POINT (-112.513122 33.390758)
142,POINT (-112.49098300000001 33.370265)
141,POINT (-112.491992 33.397397)
3133,POINT (-112.49204099999999 33.385912)
3130,POINT (-112.51353300000001 33.369198)
3132,POINT (-112.50787199999999 33.381186)
1857,POINT (-112.51343100000001 33.422936)
2392,POINT (-112.470399 33.366895)
3134,POINT (-112.47028600000002 33.401787)
1879,POINT (-112.46835300000001 33.39351)
1834,POINT (-112.521468 33.474558)
136,POINT (-112.52516499999999 33.459677)
1810,POINT (-112.52716299999999 33.501518)
1881,POINT (-112.47359499999999 33.488496999999995)
3402,POINT (-112.57406999999999 33.451331)
118,POINT (-112.563929 33.478157)
130,POINT (-112.565041 33.438995)
137,POINT (-112.53099399999999 33.442995)
2817,POINT (-112.55058000000001 33.439609000000004)
1842,POINT (-112.470176 33.456254)
1846,POINT (-112.491541 33.44288)
139,POINT (-112.491468 33.456226)
1843,POINT (-112.512607 33.447258000000005)
1848,POINT (-112.47076200000001 33.444674)
1840,POINT (-112.470124 33.470791)
1839,POINT (-112.491603 33.47077)
1800,POINT (-112.517931 33.536887)
1614,POINT (-112.50964499999999 33.515873)
1822,POINT (-112.504276 33.49483)
3257,POINT (-112.474749 33.500896999999995)
3416,POINT (-112.465953 33.501329)
1808,POINT (-112.481974 33.500871999999994)
1938,POINT (-112.48733100000001 33.512373)
3417,POINT (-112.465538 33.514356)
1977,POINT (-112.47236299999999 33.542775)
1801,POINT (-112.48186899999999 33.535676)
3260,POINT (-112.46576200000001 33.544373)
1982,POINT (-112.46411499999999 33.529968)
1934,POINT (-112.289607 33.226634000000004)
2757,POINT (-112.26942 33.170821000000004)
2751,POINT (-112.43489199999999 33.225127)
1947,POINT (-112.43728200000001 33.208956)
2771,POINT (-112.36473400000001 33.23853)
239,POINT (-112.39325 33.275874)
1948,POINT (-112.41626299999999 33.243815999999995)
2843,POINT (-112.433701 33.266546999999996)
3203,POINT (-112.376278 33.205508)
2832,POINT (-112.238234 33.113969)
1969,POINT (-112.28599299999999 33.129219)
2810,POINT (-112.43473700000001 33.428336)
226,POINT (-112.417426 33.428212)
267,POINT (-112.331805 33.471466)
283,POINT (-112.33208 33.383962)
284,POINT (-112.297877 33.425173)
413,POINT (-112.332075 33.54379)
414,POINT (-112.33173300000001 33.529324)
415,POINT (-112.336894 33.515159000000004)
873,POINT (-112.280293 33.428286)
874,POINT (-112.263973 33.428418)
876,POINT (-112.2291 33.429997)
879,POINT (-112.211734 33.429925)
1856,POINT (-112.24698400000001 33.429231)
2732,POINT (-112.31499199999999 33.427819)
229,POINT (-112.37564499999999 33.423266999999996)
235,POINT (-112.388442 33.425115000000005)
282,POINT (-112.33646599999999 33.412517)
3395,POINT (-112.34333400000001 33.426319)
3138,POINT (-112.332325 33.402263)
3434,POINT (-112.328154 33.511313)
3396,POINT (-112.328373 33.427746)
189,POINT (-112.43905500000001 33.358523)
286,POINT (-112.33143000000001 33.330585)
1919,POINT (-112.383094 33.312499)
2398,POINT (-112.404624 33.417687)
3096,POINT (-112.408604 33.395495000000004)
1899,POINT (-112.414064 33.34502)
1917,POINT (-112.44316699999999 33.33167)
3397,POINT (-112.431933 33.325503999999995)
3249,POINT (-112.44971100000001 33.309272)
2756,POINT (-112.435538 33.296405)
2043,POINT (-112.439605 33.347923)
1918,POINT (-112.416292 33.317209000000005)
237,POINT (-112.435674 33.373042)
2394,POINT (-112.437161 33.390622)
3136,POINT (-112.42873 33.407315999999994)
3263,POINT (-112.43983200000001 33.413865)
3403,POINT (-112.43099299999999 33.417485)
2811,POINT (-112.408952 33.379721999999994)
3204,POINT (-112.411702 33.36817)
2730,POINT (-112.419427 33.415673)
1873,POINT (-112.40456699999999 33.403363)
236,POINT (-112.36558400000001 33.413381)
3242,POINT (-112.38351399999999 33.396235)
2890,POINT (-112.366575 33.397846)
3075,POINT (-112.35726000000001 33.370251)
3074,POINT (-112.35051899999999 33.368926)
1725,POINT (-112.35176200000001 33.380241999999996)
3437,POINT (-112.34519099999999 33.369305)
3178,POINT (-112.35274799999999 33.415483)
2395,POINT (-112.353614 33.393696999999996)
3137,POINT (-112.34771 33.402856)
204,POINT (-112.434646 33.486382)
206,POINT (-112.395376 33.497851000000004)
210,POINT (-112.40746000000001 33.486402000000005)
211,POINT (-112.400333 33.471841)
213,POINT (-112.383147 33.486149)
224,POINT (-112.400429 33.457343)
2804,POINT (-112.400348 33.442755)
264,POINT (-112.34877900000001 33.485933)
266,POINT (-112.331874 33.485991)
406,POINT (-112.401671 33.544427)
408,POINT (-112.376902 33.518763)
215,POINT (-112.36908500000001 33.489864000000004)
2827,POINT (-112.400171 33.428159)
219,POINT (-112.434696 33.457326)
223,POINT (-112.417456 33.457276)
220,POINT (-112.435503 33.442802)
163,POINT (-112.45254299999999 33.442706)
205,POINT (-112.434824 33.471721)
202,POINT (-112.45236399999999 33.471407)
225,POINT (-112.41810500000001 33.442667)
208,POINT (-112.412371 33.471802000000004)
203,POINT (-112.434427 33.500888)
397,POINT (-112.434977 33.544738)
398,POINT (-112.43506699999999 33.5301)
399,POINT (-112.434802 33.515384000000005)
403,POINT (-112.41348899999998 33.515361)
209,POINT (-112.41303899999998 33.500868)
3394,POINT (-112.400989 33.504455)
401,POINT (-112.413684 33.544382)
402,POINT (-112.413641 33.529866)
3406,POINT (-112.422817 33.538823)
407,POINT (-112.40215 33.532514)
216,POINT (-112.365605 33.470267)
227,POINT (-112.383654 33.457196)
231,POINT (-112.36627 33.44257)
296,POINT (-112.36507399999999 33.461617)
3262,POINT (-112.363759 33.479607)
228,POINT (-112.38328100000001 33.442675)
230,POINT (-112.36659499999999 33.452837)
214,POINT (-112.38376799999999 33.469390999999995)
207,POINT (-112.38273000000001 33.477311)
3399,POINT (-112.36966699999999 33.483209)
3398,POINT (-112.372005 33.476046999999994)
233,POINT (-112.348947 33.453845)
234,POINT (-112.355127 33.443665)
265,POINT (-112.34461599999999 33.442541999999996)
281,POINT (-112.347894 33.433275)
232,POINT (-112.358699 33.429559999999995)
268,POINT (-112.337216 33.453728999999996)
269,POINT (-112.336073 33.441896)
217,POINT (-112.348731 33.471663)
2776,POINT (-112.348526 33.461385)
3435,POINT (-112.35986399999999 33.483167)
2865,POINT (-112.336577 33.461249)
418,POINT (-112.37708300000001 33.535396999999996)
1776,POINT (-112.362509 33.524421999999994)
2808,POINT (-112.363099 33.513133)
261,POINT (-112.36780700000001 33.500882)
212,POINT (-112.383052 33.5009)
2882,POINT (-112.37739599999999 33.511953999999996)
262,POINT (-112.351028 33.497017)
263,POINT (-112.331933 33.5004)
3264,POINT (-112.34865 33.515511)
419,POINT (-112.34971200000001 33.540005)
2884,POINT (-112.350179 33.52967)
3266,POINT (-112.350315 33.547295)
875,POINT (-112.26401499999999 33.413461)
1882,POINT (-112.263403 33.398033)
2820,POINT (-112.263204 33.294176)
3380,POINT (-112.209988 33.354805999999996)
3382,POINT (-112.245581 33.347869)
2396,POINT (-112.29760800000001 33.413835)
285,POINT (-112.297168 33.394881)
2738,POINT (-112.31401000000001 33.385566)
3140,POINT (-112.298025 33.402309)
2830,POINT (-112.31529599999999 33.369411)
2397,POINT (-112.314428 33.409624)
3139,POINT (-112.314175 33.402128999999995)
1867,POINT (-112.28096299999999 33.413709000000004)
2739,POINT (-112.279753 33.395468)
3119,POINT (-112.280877 33.402941)
1008,POINT (-112.20275 33.340672999999995)
956,POINT (-112.21141200000001 33.384143)
490,POINT (-112.229753 33.416907)
3381,POINT (-112.22666299999999 33.36927)
3161,POINT (-112.23576000000001 33.382849)
1862,POINT (-112.24674099999999 33.413511)
1875,POINT (-112.245553 33.395471)
957,POINT (-112.207426 33.371744)
1724,POINT (-112.225237 33.386619)
877,POINT (-112.22146000000001 33.404583)
2844,POINT (-112.21757 33.397256)
2735,POINT (-112.212747 33.415526)
278,POINT (-112.28062 33.486306)
288,POINT (-112.26203600000001 33.454267)
289,POINT (-112.26308999999999 33.442972999999995)
3030,POINT (-112.25946 33.545233)
425,POINT (-112.259413 33.527452000000004)
718,POINT (-112.25998200000001 33.486779)
719,POINT (-112.258177 33.472176)
721,POINT (-112.249572 33.487716999999996)
724,POINT (-112.23206599999999 33.486053000000005)
728,POINT (-112.21511399999999 33.487347)
3031,POINT (-112.259413 33.533854999999996)
3086,POINT (-112.26386000000001 33.458656)
3038,POINT (-112.265403 33.472176)
274,POINT (-112.297944 33.48894)
2782,POINT (-112.268207 33.490083)
3035,POINT (-112.265511 33.504872999999996)
272,POINT (-112.315317 33.453757)
275,POINT (-112.297963 33.471176)
276,POINT (-112.298257 33.453465)
277,POINT (-112.297399 33.442595000000004)
280,POINT (-112.280786 33.453776)
3309,POINT (-112.30061599999999 33.482095)
3405,POINT (-112.297877 33.431293)
273,POINT (-112.31431200000002 33.442503)
271,POINT (-112.314476 33.471319)
3310,POINT (-112.31348200000001 33.483111)
287,POINT (-112.28033700000002 33.442783)
279,POINT (-112.2807 33.471546999999994)
2781,POINT (-112.27033200000001 33.471951000000004)
420,POINT (-112.29777299999999 33.543656)
421,POINT (-112.299158 33.525658)
715,POINT (-112.28397700000001 33.515326)
