zone_id,x_coord,y_coord,geometry
110.0,-122.445024,37.7569249,POINT (-122.445024 37.7569249)
111.0,-122.4301962,37.7587662,POINT (-122.4301962 37.7587662)
112.0,-122.422757,37.758814,POINT (-122.422757 37.758814)
113.0,-122.4137074,37.7598958,POINT (-122.4137074 37.7598958)
114.0,-122.3999232,37.7523279,POINT (-122.3999232 37.7523279)
115.0,-122.3949302,37.7560482,POINT (-122.3949302 37.7560482)
116.0,-122.3827465,37.7511545,POINT (-122.3827465 37.7511545)
117.0,-122.3784781,37.7516629,POINT (-122.3784781 37.7516629)
121.0,-122.5001139,37.7431136,POINT (-122.5001139 37.7431136)
122.0,-122.4968356,37.7468232,POINT (-122.4968356 37.7468232)
123.0,-122.4801096,37.7438401,POINT (-122.4801096 37.7438401)
124.0,-122.4699617,37.7470736,POINT (-122.4699617 37.7470736)
125.0,-122.4685327,37.7492161,POINT (-122.4685327 37.7492161)
126.0,-122.4588371,37.7438075,POINT (-122.4588371 37.7438075)
127.0,-122.4486536,37.7465324,POINT (-122.4486536 37.7465324)
128.0,-122.435016,37.746969,POINT (-122.435016 37.746969)
129.0,-122.4220731,37.7499176,POINT (-122.4220731 37.7499176)
130.0,-122.41698,37.7418086,POINT (-122.41698 37.7418086)
131.0,-122.4042808,37.7435733,POINT (-122.4042808 37.7435733)
132.0,-122.3936822,37.7485409,POINT (-122.3936822 37.7485409)
133.0,-122.3848586,37.7437737,POINT (-122.3848586 37.7437737)
134.0,-122.3761832,37.7403014,POINT (-122.3761832 37.7403014)
135.0,-122.3697472,37.7401993,POINT (-122.3697472 37.7401993)
138.0,-122.5071608,37.7345923,POINT (-122.5071608 37.7345923)
139.0,-122.4928222,37.7328245,POINT (-122.4928222 37.7328245)
140.0,-122.4828776,37.7379271,POINT (-122.4828776 37.7379271)
141.0,-122.4742225,37.7360463,POINT (-122.4742225 37.7360463)
142.0,-122.4639435,37.7364854,POINT (-122.4639435 37.7364854)
143.0,-122.4538166,37.7360181,POINT (-122.4538166 37.7360181)
144.0,-122.4443178,37.7310763,POINT (-122.4443178 37.7310763)
145.0,-122.4377051,37.7337575,POINT (-122.4377051 37.7337575)
146.0,-122.4294418,37.7347762,POINT (-122.4294418 37.7347762)
147.0,-122.4182569,37.733458,POINT (-122.4182569 37.733458)
148.0,-122.4097279,37.7375902,POINT (-122.4097279 37.7375902)
149.0,-122.3949085,37.7389298,POINT (-122.3949085 37.7389298)
150.0,-122.3863103,37.7363111,POINT (-122.3863103 37.7363111)
151.0,-122.3719647,37.733143,POINT (-122.3719647 37.733143)
152.0,-122.362367,37.730169,POINT (-122.362367 37.730169)
155.0,-122.5027689,37.7282514,POINT (-122.5027689 37.7282514)
156.0,-122.4952645,37.7237261,POINT (-122.4952645 37.7237261)
157.0,-122.4826208,37.7231289,POINT (-122.4826208 37.7231289)
158.0,-122.4710605,37.7278896,POINT (-122.4710605 37.7278896)
159.0,-122.4621229,37.7263443,POINT (-122.4621229 37.7263443)
160.0,-122.456092,37.7275888,POINT (-122.456092 37.7275888)
161.0,-122.4413155,37.7288601,POINT (-122.4413155 37.7288601)
162.0,-122.438739,37.7224668,POINT (-122.438739 37.7224668)
163.0,-122.4248735,37.7220689,POINT (-122.4248735 37.7220689)
164.0,-122.4152301,37.7257577,POINT (-122.4152301 37.7257577)
165.0,-122.4037407,37.7289359,POINT (-122.4037407 37.7289359)
166.0,-122.394009,37.724396,POINT (-122.394009 37.724396)
167.0,-122.386139,37.723583,POINT (-122.386139 37.723583)
168.0,-122.3721101,37.7286182,POINT (-122.3721101 37.7286182)
169.0,-122.363209,37.720362,POINT (-122.363209 37.720362)
170.0,-122.3581053,37.7279864,POINT (-122.3581053 37.7279864)
172.0,-122.500791,37.7150886,POINT (-122.500791 37.7150886)
173.0,-122.4989848,37.7126362,POINT (-122.4989848 37.7126362)
174.0,-122.4814353,37.7128029,POINT (-122.4814353 37.7128029)
175.0,-122.4732815,37.7116554,POINT (-122.4732815 37.7116554)
176.0,-122.4623067,37.7182295,POINT (-122.4623067 37.7182295)
177.0,-122.4590105,37.7108313,POINT (-122.4590105 37.7108313)
178.0,-122.4495806,37.7180513,POINT (-122.4495806 37.7180513)
179.0,-122.4302194,37.7163998,POINT (-122.4302194 37.7163998)
180.0,-122.4275348,37.7106273,POINT (-122.4275348 37.7106273)
181.0,-122.4103679,37.7163953,POINT (-122.4103679 37.7163953)
182.0,-122.402677,37.71493,POINT (-122.402677 37.71493)
183.0,-122.3967537,37.7128427,POINT (-122.3967537 37.7128427)
184.0,-122.3884119,37.7150628,POINT (-122.3884119 37.7150628)
185.0,-122.3792692,37.7167492,POINT (-122.3792692 37.7167492)
186.0,-122.36832,37.7197931,POINT (-122.36832 37.7197931)
190.0,-122.4944708,37.7079814,POINT (-122.4944708 37.7079814)
191.0,-122.483828,37.7065525,POINT (-122.483828 37.7065525)
192.0,-122.4708458,37.7086823,POINT (-122.4708458 37.7086823)
193.0,-122.4679144,37.7096893,POINT (-122.4679144 37.7096893)
194.0,-122.455431,37.708821,POINT (-122.455431 37.708821)
195.0,-122.4428071,37.7087301,POINT (-122.4428071 37.7087301)
196.0,-122.4329651,37.707393,POINT (-122.4329651 37.707393)
197.0,-122.4264156,37.7092653,POINT (-122.4264156 37.7092653)
198.0,-122.4108842,37.7093854,POINT (-122.4108842 37.7093854)
199.0,-122.4039684,37.7085494,POINT (-122.4039684 37.7085494)
200.0,-122.3997905,37.7097716,POINT (-122.3997905 37.7097716)
202.0,-122.3797872,37.7096296,POINT (-122.3797872 37.7096296)
207.0,-122.495866,37.6923081,POINT (-122.495866 37.6923081)
208.0,-122.4878996,37.699473,POINT (-122.4878996 37.699473)
209.0,-122.4722498,37.6947729,POINT (-122.4722498 37.6947729)
210.0,-122.4652887,37.6968566,POINT (-122.4652887 37.6968566)
211.0,-122.4558017,37.6923684,POINT (-122.4558017 37.6923684)
212.0,-122.447847,37.6923434,POINT (-122.447847 37.6923434)
213.0,-122.4343365,37.6971798,POINT (-122.4343365 37.6971798)
214.0,-122.420091,37.694801,POINT (-122.420091 37.694801)
215.0,-122.4103856,37.6923454,POINT (-122.4103856 37.6923454)
216.0,-122.4094808,37.6922274,POINT (-122.4094808 37.6922274)
217.0,-122.3924565,37.6913857,POINT (-122.3924565 37.6913857)
224.0,-122.4935934,37.6855019,POINT (-122.4935934 37.6855019)
225.0,-122.4805488,37.6846227,POINT (-122.4805488 37.6846227)
226.0,-122.4782663,37.6839626,POINT (-122.4782663 37.6839626)
227.0,-122.4642019,37.6867485,POINT (-122.4642019 37.6867485)
228.0,-122.4532538,37.6892381,POINT (-122.4532538 37.6892381)
229.0,-122.447016,37.681416,POINT (-122.447016 37.681416)
230.0,-122.4347607,37.6855507,POINT (-122.4347607 37.6855507)
232.0,-122.4192796,37.689301,POINT (-122.4192796 37.689301)
233.0,-122.4066928,37.6807983,POINT (-122.4066928 37.6807983)
234.0,-122.3981897,37.6840385,POINT (-122.3981897 37.6840385)
241.0,-122.4917475,37.6771726,POINT (-122.4917475 37.6771726)
242.0,-122.4892221,37.6770865,POINT (-122.4892221 37.6770865)
243.0,-122.4703833,37.6770535,POINT (-122.4703833 37.6770535)
244.0,-122.469816,37.6771942,POINT (-122.469816 37.6771942)
245.0,-122.4589019,37.6770578,POINT (-122.4589019 37.6770578)
246.0,-122.4462669,37.6771551,POINT (-122.4462669 37.6771551)
250.0,-122.407199,37.6788604,POINT (-122.407199 37.6788604)
251.0,-122.3949531,37.6778034,POINT (-122.3949531 37.6778034)
252.0,-122.3882278,37.6770295,POINT (-122.3882278 37.6770295)
