zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
13,C3,-122.31561868092783,47.656499285051545,"POLYGON ((-122.32024209999999 47.65391,-122.32024209999999 47.65847,-122.30970209999998 47.65847,-122.30970209999998 47.65391,-122.32024209999999 47.65391))",POINT (-122.31561868092783 47.656499285051545),183,1466.3403716862979,1665.2949050503998
14,C4,-122.30536102676061,47.6557213971831,"POLYGON ((-122.30970209999998 47.65391,-122.30970209999998 47.65847,-122.29916209999998 47.65847,-122.29916209999998 47.65391,-122.30970209999998 47.65391))",POINT (-122.30536102676061 47.6557213971831),71,1257.135028290726,1492.3947244865733
15,C5,-122.29365421578946,47.656990263157894,"POLYGON ((-122.29916209999998 47.65391,-122.29916209999998 47.65847,-122.28862209999997 47.65847,-122.28862209999997 47.65391,-122.29916209999998 47.65391))",POINT (-122.29365421578946 47.656990263157894),17,867.01641494016,274.77830395276163
16,D1,-122.33583638959455,47.65167640918918,"POLYGON ((-122.3413221 47.649350000000005,-122.3413221 47.65391,-122.3307821 47.65391,-122.3307821 47.649350000000005,-122.3413221 47.649350000000005))",POINT (-122.33583638959455 47.65167640918918),713,1324.978608319489,1345.3993609348493
17,D2,-122.32547413489586,47.651620008854195,"POLYGON ((-122.3307821 47.649350000000005,-122.3307821 47.65391,-122.32024209999999 47.65391,-122.32024209999999 47.649350000000005,-122.3307821 47.649350000000005))",POINT (-122.32547413489586 47.651620008854195),183,541.5270214503231,867.6855513860608
18,D3,-122.3163779920529,47.65112617615895,"POLYGON ((-122.32024209999999 47.649350000000005,-122.32024209999999 47.65391,-122.30970209999998 47.65391,-122.30970209999998 47.649350000000005,-122.32024209999999 47.649350000000005))",POINT (-122.3163779920529 47.65112617615895),148,1057.6572203857918,1127.2822185554814
19,D4,-122.30477274925373,47.652082859701494,"POLYGON ((-122.30970209999998 47.649350000000005,-122.30970209999998 47.65391,-122.29916209999998 47.65391,-122.29916209999998 47.649350000000005,-122.30970209999998 47.649350000000005))",POINT (-122.30477274925373 47.652082859701494),67,1122.9696771821884,1079.8006270222147
20,D5,-122.29389209999997,47.651630000000004,"POLYGON ((-122.29916209999998 47.649350000000005,-122.29916209999998 47.65391,-122.28862209999997 47.65391,-122.28862209999997 47.649350000000005,-122.29916209999998 47.649350000000005))",POINT (-122.29389209999997 47.651630000000004),0,0.0,0.0
21,E1,-122.33575934610793,47.64762915389221,"POLYGON ((-122.3413221 47.64479000000001,-122.3413221 47.649350000000005,-122.3307821 47.649350000000005,-122.3307821 47.64479000000001,-122.3413221 47.64479000000001))",POINT (-122.33575934610793 47.64762915389221),156,651.5852906631679,900.1309460491968
22,E2,-122.32251200224722,47.64831676404496,"POLYGON ((-122.3307821 47.64479000000001,-122.3307821 47.649350000000005,-122.32024209999999 47.649350000000005,-122.32024209999999 47.64479000000001,-122.3307821 47.64479000000001))",POINT (-122.32251200224722 47.64831676404496),83,256.589045650688,365.60054822668803
23,E3,-122.31801967578126,47.64825516171876,"POLYGON ((-122.32024209999999 47.64479000000001,-122.32024209999999 47.649350000000005,-122.30970209999998 47.649350000000005,-122.30970209999998 47.64479000000001,-122.32024209999999 47.64479000000001))",POINT (-122.31801967578126 47.64825516171876),127,199.89468991125764,191.49045471305604
24,E4,-122.30527755,47.6486148875,"POLYGON ((-122.30970209999998 47.64479000000001,-122.30970209999998 47.649350000000005,-122.29916209999998 47.649350000000005,-122.29916209999998 47.64479000000001,-122.30970209999998 47.64479000000001))",POINT (-122.30527755 47.6486148875),16,245.12329160216956,831.6767016456577
25,E5,-122.29389209999997,47.64707000000001,"POLYGON ((-122.29916209999998 47.64479000000001,-122.29916209999998 47.649350000000005,-122.28862209999997 47.649350000000005,-122.28862209999997 47.64479000000001,-122.29916209999998 47.64479000000001))",POINT (-122.29389209999997 47.64707000000001),0,0.0,0.0
26,Gate1,-122.3465921,47.64707,,POINT (-122.3465921 47.64707),0,1000.0,1000.0
27,Gate2,-122.3465921,47.65163,,POINT (-122.3465921 47.65163),0,2000.0,2000.0
28,Gate3,-122.3465921,47.65619,,POINT (-122.3465921 47.65619),0,3000.0,3000.0
29,Gate4,-122.3465921,47.66075,,POINT (-122.3465921 47.66075),0,3000.0,3000.0
30,Gate5,-122.3465921,47.66531,,POINT (-122.3465921 47.66531),0,4000.0,4000.0
31,Gate6,-122.33605209999999,47.669873599999995,,POINT (-122.33605209999999 47.669873599999995),0,3000.0,3000.0
32,Gate7,-122.3255121,47.669873599999995,,POINT (-122.3255121 47.669873599999995),0,10000.0,10000.0
33,Gate8,-122.3149721,47.669873599999995,,POINT (-122.3149721 47.669873599999995),0,10000.0,10000.0
34,Gate9,-122.30443209999999,47.669873599999995,,POINT (-122.30443209999999 47.669873599999995),0,6000.0,6000.0
35,Gate10,-122.2938921,47.669873599999995,,POINT (-122.2938921 47.669873599999995),0,2000.0,2000.0
36,Gate11,-122.28335,47.6653136,,POINT (-122.28335 47.6653136),0,2000.0,2000.0
