name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,534,60649444.0,,15,0,,unclassified,0,-122.2977645,47.6540635,,,,0.0,0.0
,535,60649526.0,,15,0,,unclassified,0,-122.29671780000001,47.6582145,,,,0.0,0.0
,536,60649529.0,,10,0,,unclassified,0,-122.2967074,47.6586511,,,,0.0,0.0
,537,60649689.0,,19,0,,unclassified,0,-122.30002560000001,47.6539056,,,,0.0,0.0
,538,60976399.0,stop,13,0,,tertiary,0,-122.31331259999999,47.655339,,,,0.0,0.0
,539,124205963.0,,2,0,,secondary,0,-122.32260149999999,47.6649659,,,,0.0,0.0
,540,124205971.0,,2,0,,secondary,0,-122.32160590000001,47.66495689999999,,,,0.0,0.0
,541,124205978.0,,7,0,,secondary,0,-122.3226603,47.661336299999995,,,,0.0,0.0
,542,124205985.0,,7,0,,secondary,0,-122.32166000000001,47.6613223,,,,0.0,0.0
,543,206250115.0,,13,0,,residential,0,-122.31880109999999,47.6561094,,,,0.0,0.0
,544,390508748.0,,22,0,,residential,0,-122.32284209999999,47.6477096,,,,0.0,0.0
,545,478469541.0,,13,0,,secondary,0,-122.31777450000001,47.6561574,,,,0.0,0.0
,546,478469559.0,traffic_signals,13,1,,secondary,0,-122.31781459999999,47.656098,,,,0.0,0.0
,547,478469568.0,,13,0,,tertiary,0,-122.3178437,47.656141299999994,,,,0.0,0.0
,548,479736003.0,,7,0,,motorway,0,-122.3228774,47.6605771,,,,0.0,0.0
,549,504957981.0,,21,0,,tertiary,0,-122.33598559999999,47.6468388,,,,0.0,0.0
,550,504958017.0,,21,0,,tertiary,0,-122.3344993,47.6468315,,,,0.0,0.0
,551,619090917.0,,5,0,,residential,0,-122.29852340000002,47.6662012,,,,0.0,0.0
,552,620400211.0,,13,0,,unclassified,0,-122.31140149999999,47.6554164,,,,0.0,0.0
,553,632049284.0,crossing,18,0,,tertiary,0,-122.3131649,47.6523774,,,,0.0,0.0
,554,632049298.0,crossing,18,0,,tertiary,0,-122.310025,47.6527325,,,,0.0,0.0
,555,647323520.0,stop,13,0,,tertiary,0,-122.31038819999999,47.65497620000001,,,,0.0,0.0
,556,660936472.0,,1,0,,secondary,0,-122.3310535,47.6650115,,,,0.0,0.0
,557,668468644.0,crossing,12,0,,tertiary,0,-122.3207044,47.6557919,,,,0.0,0.0
,558,677188019.0,,2,0,,secondary,0,-122.32071570000001,47.664463700000006,,,,0.0,0.0
