name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,1074,,,30,0,,poi,0,-77.03488179549286,38.89986347688535,,408.0,,3.302582988928,3.302582988928
,1075,,,30,0,,poi,0,-77.0348774780628,38.899701551486466,,409.0,,3.3978974155199997,3.3978974155199997
,1076,,,18,0,,poi,0,-77.0348535965685,38.90003069380497,,410.0,,3.79400931824,3.79400931824
,1077,,,18,0,,poi,0,-77.03508744999998,38.89988089999999,,411.0,,0.146066264128,0.146066264128
,1078,,,20,0,,poi,0,-77.02915065028967,38.90288725170485,,412.0,,21.185797547039996,21.185797547039996
,1079,,,19,0,,poi,0,-77.03231350464516,38.90292399391028,,413.0,,13.694331186847998,13.694331186847998
,1080,,,4,0,,poi,0,-77.04096238535915,38.90320332567516,,414.0,,0.10570160012799999,2.5262682430592
,1081,,,5,0,,poi,0,-77.04057752510606,38.903203097078716,,415.0,,0.06802791372800002,1.6258671380992002
,1082,,,4,0,,poi,0,-77.04118765952501,38.903065165758655,,416.0,,0.10311826163200001,2.4645264530048
,1083,,,23,0,,poi,0,-77.02111555825563,38.900512770036116,,417.0,,0.8953420670719999,21.3986754030208
,1084,,,18,0,,poi,0,-77.03599372123891,38.9008511041781,,418.0,,54.939859794431996,2.6931303820800006
,1085,,,7,0,,poi,0,-77.0338122054207,38.90403803153959,,419.0,,20.162095848448,20.162095848448
,1086,,,7,0,,poi,0,-77.03400544797641,38.90450108915565,,420.0,,27.107670492704003,27.107670492704003
,1087,,,7,0,,poi,0,-77.03411294108115,38.90355919820481,,421.0,,1.916191329408,1.916191329408
,1088,,,7,0,,poi,0,-77.0340221076816,38.90353334030223,,422.0,,1.8419203476480002,1.8419203476480002
,1089,,,7,0,,poi,0,-77.03420987771428,38.90409937364967,,423.0,,16.78524187776,16.78524187776
,1090,,,7,0,,poi,0,-77.03386371013363,38.903105141230064,,424.0,,7.56326164256,7.56326164256
,1091,,,7,0,,poi,0,-77.03380524337373,38.9032394344799,,425.0,,3.2803016943999994,3.2803016943999994
,1092,,,7,0,,poi,0,-77.03366979374272,38.90345175498693,,426.0,,14.740314179968,14.740314179968
,1093,,,7,0,,poi,0,-77.0342056144549,38.903389755192215,,427.0,,6.055560712831999,6.055560712831999
,1094,,,7,0,,poi,0,-77.0333733386582,38.90395629280489,,428.0,,7.0124185278399995,7.0124185278399995
,1095,,,7,0,,poi,0,-77.03325570321348,38.904317939733076,,429.0,,27.899894298143998,27.899894298143998
,1096,,,7,0,,poi,0,-77.03423362857862,38.90301885446671,,430.0,,18.067654162815998,18.067654162815998
,1097,,,7,0,,poi,0,-77.03428764426651,38.90354900596603,,431.0,,3.7246897352639996,3.7246897352639996
,1098,,,18,0,,poi,0,-77.03608964476014,38.90042957912252,,432.0,,0.6308727885440001,0.6308727885440001
,1099,,,6,0,,poi,0,-77.0359252474025,38.90315962516701,,433.0,,73.40572482249601,73.40572482249601
,1100,,,6,0,,poi,0,-77.0360957185152,38.904049449135826,,434.0,,28.363635849907205,1.3903743063680003
,1101,,,6,0,,poi,0,-77.03602051269277,38.90449584472932,,435.0,,9.864424227424001,9.864424227424001
,1102,,,18,0,,poi,0,-77.03608840124272,38.902104649157316,,436.0,,1.838798813632,1.838798813632
,1103,,,18,0,,poi,0,-77.03608587050743,38.90159024739074,,437.0,,10.75072460976,10.75072460976
,1104,,,18,0,,poi,0,-77.03540784992089,38.90213511014032,,438.0,,3.8039121158079996,3.8039121158079996
,1105,,,18,0,,poi,0,-77.03548005226966,38.901661097306935,,439.0,,20.501266665152002,20.501266665152002
,1106,,,18,0,,poi,0,-77.03535946405032,38.90088842546943,,440.0,,230.33010509431682,4.808561692992001
,1107,,,6,0,,poi,0,-77.03505986229251,38.903096568320386,,441.0,,58.80281195878399,58.80281195878399
,1108,,,18,0,,poi,0,-77.0356803231687,38.902144310970094,,442.0,,9.849570031072,9.849570031072
,1109,,,18,0,,poi,0,-77.03509156501984,38.90160726475893,,443.0,,9.002880839008,9.002880839008
,1110,,,18,0,,poi,0,-77.03487386883045,38.90155874899806,,444.0,,5.028145465152,5.028145465152
,1111,,,19,0,,poi,0,-77.03396543389073,38.90287988188255,,445.0,,8.122769705152,8.122769705152
,1112,,,5,0,,poi,0,-77.04087415821583,38.90310773435697,,446.0,,0.045961897408,1.0984893480512001
,1113,,,23,0,,poi,0,-77.02049427679178,38.90046320113175,,447.0,,0.22754906585600002,5.438422673958401
,1114,,,1,0,,poi,0,-77.05078268604588,38.90333293515366,,448.0,,1.0643354603519999,25.437617502412802
,1115,,,38,0,,poi,0,-77.04741941262732,38.89669706121408,,449.0,,0.08342030560000001,1.9937453038400004
,1116,,,29,0,,poi,0,-77.04068467469672,38.896938172390044,,450.0,,0.8375398682240001,20.0172028505536
,1117,,,28,0,,poi,0,-77.04133698715582,38.8976977642949,,451.0,,0.327653432576,7.8309170385664
,1118,,,33,0,,poi,0,-77.0273789199133,38.89916374723874,,452.0,,0.182878837696,4.3708042209344
,1119,,,36,0,,poi,0,-77.01855582458926,38.89961141207002,,453.0,,0.6573520081280001,15.710712994259202
,1120,,,8,0,,poi,0,-77.02849496963339,38.9033752398963,,454.0,,1.6723349392959999,1.6723349392959999
,1121,,,20,0,,poi,0,-77.0291292219692,38.901653042573095,,455.0,,38.8904818872576,1.906396170944
,1122,,,46,0,,poi,0,-77.0243206407956,38.896557421253625,,456.0,,28.995391279104002,28.995391279104002
,1123,,,27,0,,poi,0,-77.0453368539564,38.89984904516134,,457.0,,1.5532322707200001,37.122251270208004
,1124,,,10,0,,poi,0,-77.02458803007403,38.90436518915143,,458.0,,1.6314858993280001,1.6314858993280001
,1125,,,10,0,,poi,0,-77.02451092317827,38.904336864929775,,459.0,,0.757564013952,0.757564013952
,1126,,,10,0,,poi,0,-77.02484348333779,38.903745965844735,,460.0,,12.509924305984,12.509924305984
,1127,,,9,0,,poi,0,-77.02542270802103,38.90442398015993,,461.0,,3.6231860601919994,3.6231860601919994
,1128,,,9,0,,poi,0,-77.02638723592959,38.90439666918636,,462.0,,1.548549969696,1.548549969696
,1129,,,10,0,,poi,0,-77.02300951777204,38.90504648173303,,463.0,,62.347152375296005,62.347152375296005
,1130,,,9,0,,poi,0,-77.02671834227775,38.90439111817145,,464.0,,4.124515187072,4.124515187072
,1131,,,10,0,,poi,0,-77.02483471730079,38.904422967495215,,465.0,,7.285983310656,7.285983310656
,1132,,,10,0,,poi,0,-77.02528087400134,38.90442268100014,,466.0,,4.95758803248,4.95758803248
,1133,,,9,0,,poi,0,-77.02672341898408,38.90430854391939,,467.0,,1.1326324718399998,1.1326324718399998
,1134,,,9,0,,poi,0,-77.02650152492544,38.904423877314784,,468.0,,4.953874483392,4.953874483392
,1135,,,9,0,,poi,0,-77.02625664929867,38.904586312091645,,469.0,,14.708130087872,14.708130087872
,1136,,,18,0,,poi,0,-77.03701826088881,38.90097563841756,,470.0,,21.720548615711998,21.720548615711998
,1137,,,17,0,,poi,0,-77.03797466619172,38.90098559750653,,471.0,,35.858029993728,1.75774656832
,1138,,,18,0,,poi,0,-77.03696442506389,38.90050500641264,,472.0,,14.924753784672001,14.924753784672001
,1139,,,18,0,,poi,0,-77.0375621999089,38.90057545676591,,473.0,,66.5382746399232,3.261680129408
,1140,,,18,0,,poi,0,-77.03750170141267,38.901081002758644,,474.0,,12.548082368351999,12.548082368351999
,1141,,,18,0,,poi,0,-77.0373367868227,38.902181983863116,,475.0,,5.622313319232,5.622313319232
,1142,,,18,0,,poi,0,-77.03705874540711,38.90221165874501,,476.0,,2.338298075744,2.338298075744
,1143,,,18,0,,poi,0,-77.03684132499122,38.902448652727905,,477.0,,0.0076423763839999995,0.0076423763839999995
,1144,,,17,0,,poi,0,-77.03800103040314,38.90213466423672,,478.0,,26.662044602144,26.662044602144
,1145,,,18,0,,poi,0,-77.03714910295938,38.90221217273543,,479.0,,2.484364339872,2.484364339872
,1146,,,17,0,,poi,0,-77.03811778356176,38.901672750662854,,480.0,,35.429841638016,1.7367569430399998
,1147,,,18,0,,poi,0,-77.0375345970906,38.90218083834237,,481.0,,7.987844088287998,7.987844088287998
,1148,,,18,0,,poi,0,-77.03755793714609,38.901686671850456,,482.0,,41.355320493663996,41.355320493663996
,1149,,,18,0,,poi,0,-77.03696799228871,38.90211638035883,,483.0,,10.927737116287998,10.927737116287998
,1150,,,5,0,,poi,0,-77.03924169377753,38.90401826631076,,484.0,,13.685666238975998,13.685666238975998
,1151,,,5,0,,poi,0,-77.0388787138851,38.90399850800097,,485.0,,13.527221477887998,13.527221477887998
,1152,,,6,0,,poi,0,-77.03714714005083,38.90396671661949,,486.0,,1.1128268767040002,1.1128268767040002
,1153,,,6,0,,poi,0,-77.0377648019683,38.90404630303168,,487.0,,9.195985391584,9.195985391584
,1154,,,17,0,,poi,0,-77.03899902446578,38.902877817805646,,488.0,,39.307691054361605,1.926847600704
,1155,,,5,0,,poi,0,-77.03810451837798,38.904085383058906,,489.0,,20.150955201183997,20.150955201183997
,1156,,,6,0,,poi,0,-77.03745519275064,38.90431973899091,,490.0,,43.741894707552,43.741894707552
