node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry,_zone_id
35043,-112.2922458,33.4465724,0.31739999999999996,0.31739999999999996,0,,,24030.0,poi,POINT (-112.2922458 33.4465724),-1.0
35044,-112.2920688,33.4466718,0.30003499999999994,0.30003499999999994,0,,,24031.0,poi,POINT (-112.2920688 33.4466718),-1.0
35045,-112.2918998,33.4467447,0.30567,0.30567,0,,,24032.0,poi,POINT (-112.2918998 33.4467447),-1.0
35046,-112.2917485,33.4468218,0.324415,0.324415,0,,,24033.0,poi,POINT (-112.2917485 33.4468218),-1.0
35047,-112.2915581,33.4468743,0.30371499999999996,0.30371499999999996,0,,,24034.0,poi,POINT (-112.2915581 33.4468743),-1.0
35048,-112.2914022,33.4469315,0.32177,0.32177,0,,,24035.0,poi,POINT (-112.2914022 33.4469315),-1.0
35049,-112.2912159,33.4469546,0.26691499999999996,0.26691499999999996,0,,,24036.0,poi,POINT (-112.2912159 33.4469546),-1.0
35050,-112.2923834,33.446811,0.32591,0.32591,0,,,24037.0,poi,POINT (-112.2923834 33.446811),-1.0
35051,-112.292375,33.4469868,0.33258,0.33258,0,,,24038.0,poi,POINT (-112.292375 33.4469868),-1.0
35052,-112.2923408,33.4471583,0.32775,0.32775,0,,,24039.0,poi,POINT (-112.2923408 33.4471583),-1.0
35053,-112.2923348,33.4473472,0.32292000000000004,0.32292000000000004,0,,,24040.0,poi,POINT (-112.2923348 33.4473472),-1.0
35054,-112.2923979,33.4475202,0.31464,0.31464,0,,,24041.0,poi,POINT (-112.2923979 33.4475202),-1.0
35055,-112.2926483,33.4475825,0.273815,0.273815,0,,,24042.0,poi,POINT (-112.2926483 33.4475825),-1.0
35056,-112.2929368,33.447489,0.30774,0.30774,0,,,24043.0,poi,POINT (-112.2929368 33.447489),-1.0
35057,-112.2930336,33.4473206,0.253805,0.253805,0,,,24044.0,poi,POINT (-112.2930336 33.4473206),-1.0
35058,-112.292986,33.4471438,0.3224599999999999,0.3224599999999999,0,,,24045.0,poi,POINT (-112.292986 33.4471438),-1.0
35059,-112.2929332,33.446986,0.3195849999999999,0.3195849999999999,0,,,24046.0,poi,POINT (-112.2929332 33.446986),-1.0
35060,-112.2929116,33.4468353,0.26254500000000003,0.26254500000000003,0,,,24047.0,poi,POINT (-112.2929116 33.4468353),-1.0
35061,-112.2928818,33.446686,0.32637,0.32637,0,,,24048.0,poi,POINT (-112.2928818 33.446686),-1.0
35062,-112.292854,33.4465309,0.31475499999999995,0.31475499999999995,0,,,24049.0,poi,POINT (-112.292854 33.4465309),-1.0
35063,-112.291898,33.4473514,0.26289,0.26289,0,,,24050.0,poi,POINT (-112.291898 33.4473514),-1.0
35064,-112.2917182,33.4472457,0.28106,0.28106,0,,,24051.0,poi,POINT (-112.2917182 33.4472457),-1.0
35065,-112.2915091,33.4473043,0.32533499999999993,0.32533499999999993,0,,,24052.0,poi,POINT (-112.2915091 33.4473043),-1.0
35066,-112.2913027,33.4472908,0.32637,0.32637,0,,,24053.0,poi,POINT (-112.2913027 33.4472908),-1.0
35067,-112.2911365,33.4473039,0.31015499999999996,0.31015499999999996,0,,,24054.0,poi,POINT (-112.2911365 33.4473039),-1.0
35068,-112.2909434,33.4472921,0.33016500000000004,0.33016500000000004,0,,,24055.0,poi,POINT (-112.2909434 33.4472921),-1.0
35069,-112.2907642,33.4473046,0.3011849999999999,0.3011849999999999,0,,,24056.0,poi,POINT (-112.2907642 33.4473046),-1.0
35070,-112.2919669,33.4475302,0.3105,0.3105,0,,,24057.0,poi,POINT (-112.2919669 33.4475302),-1.0
35071,-112.2920798,33.4476732,0.30555499999999997,0.30555499999999997,0,,,24058.0,poi,POINT (-112.2920798 33.4476732),-1.0
35072,-112.2921521,33.4478269,0.32165499999999997,0.32165499999999997,0,,,24059.0,poi,POINT (-112.2921521 33.4478269),-1.0
35073,-112.2915012,33.4477402,0.29945999999999995,0.29945999999999995,0,,,24060.0,poi,POINT (-112.2915012 33.4477402),-1.0
35074,-112.2913046,33.4477379,0.293595,0.293595,0,,,24061.0,poi,POINT (-112.2913046 33.4477379),-1.0
35075,-112.2911215,33.4477185,0.27047999999999994,0.27047999999999994,0,,,24062.0,poi,POINT (-112.2911215 33.4477185),-1.0
35076,-112.2909469,33.4477362,0.306015,0.306015,0,,,24063.0,poi,POINT (-112.2909469 33.4477362),-1.0
35077,-112.2907516,33.4477296,0.32280499999999995,0.32280499999999995,0,,,24064.0,poi,POINT (-112.2907516 33.4477296),-1.0
35078,-112.2903096,33.448113,0.3109599999999999,0.3109599999999999,0,,,24065.0,poi,POINT (-112.2903096 33.448113),-1.0
35079,-112.2903192,33.4479722,0.30245,0.30245,0,,,24066.0,poi,POINT (-112.2903192 33.4479722),-1.0
35080,-112.2903022,33.4478325,0.31440999999999997,0.31440999999999997,0,,,24067.0,poi,POINT (-112.2903022 33.4478325),-1.0
35081,-112.2903156,33.4476663,0.30693499999999996,0.30693499999999996,0,,,24068.0,poi,POINT (-112.2903156 33.4476663),-1.0
35082,-112.2903017,33.4475355,0.27047999999999994,0.27047999999999994,0,,,24069.0,poi,POINT (-112.2903017 33.4475355),-1.0
35083,-112.2903072,33.4473769,0.315905,0.315905,0,,,24070.0,poi,POINT (-112.2903072 33.4473769),-1.0
35084,-112.2902968,33.447213,0.32406999999999997,0.32406999999999997,0,,,24071.0,poi,POINT (-112.2902968 33.447213),-1.0
35085,-112.2903287,33.4470646,0.29750499999999996,0.29750499999999996,0,,,24072.0,poi,POINT (-112.2903287 33.4470646),-1.0
35086,-112.2903378,33.4469068,0.33764,0.33764,0,,,24073.0,poi,POINT (-112.2903378 33.4469068),-1.0
35087,-112.2904113,33.4467111,0.38375499999999996,0.38375499999999996,0,,,24074.0,poi,POINT (-112.2904113 33.4467111),-1.0
35088,-112.2909886,33.448279,0.279565,0.279565,0,,,24075.0,poi,POINT (-112.2909886 33.448279),-1.0
35089,-112.291137,33.4483057,0.24103999999999998,0.24103999999999998,0,,,24076.0,poi,POINT (-112.291137 33.4483057),-1.0
35090,-112.2913225,33.4483037,0.22252499999999997,0.22252499999999997,0,,,24077.0,poi,POINT (-112.2913225 33.4483037),-1.0
35091,-112.2914707,33.4483059,0.28014,0.28014,0,,,24078.0,poi,POINT (-112.2914707 33.4483059),-1.0
35092,-112.2916477,33.448268,0.29428499999999996,0.29428499999999996,0,,,24079.0,poi,POINT (-112.2916477 33.448268),-1.0
35093,-112.2918106,33.4482562,0.24126999999999998,0.24126999999999998,0,,,24080.0,poi,POINT (-112.2918106 33.4482562),-1.0
35094,-112.2919746,33.4482237,0.26748999999999995,0.26748999999999995,0,,,24081.0,poi,POINT (-112.2919746 33.4482237),-1.0
35095,-112.292128,33.4482157,0.26346499999999995,0.26346499999999995,0,,,24082.0,poi,POINT (-112.292128 33.4482157),-1.0
35096,-112.292301,33.4482121,0.2047,0.2047,0,,,24083.0,poi,POINT (-112.292301 33.4482121),-1.0
35097,-112.2924505,33.448262,0.253805,0.253805,0,,,24084.0,poi,POINT (-112.2924505 33.448262),-1.0
35098,-112.2926151,33.4482556,0.24425999999999998,0.24425999999999998,0,,,24085.0,poi,POINT (-112.2926151 33.4482556),-1.0
35099,-112.2927936,33.4482697,0.28117499999999995,0.28117499999999995,0,,,24086.0,poi,POINT (-112.2927936 33.4482697),-1.0
35100,-112.2929602,33.448269,0.29969,0.29969,0,,,24087.0,poi,POINT (-112.2929602 33.448269),-1.0
35101,-112.2931091,33.4482834,0.26553499999999997,0.26553499999999997,0,,,24088.0,poi,POINT (-112.2931091 33.4482834),-1.0
35102,-112.2932863,33.4482573,0.24402999999999997,0.24402999999999997,0,,,24089.0,poi,POINT (-112.2932863 33.4482573),-1.0
35103,-112.2934744,33.4482657,0.2601299999999999,0.2601299999999999,0,,,24090.0,poi,POINT (-112.2934744 33.4482657),-1.0
35104,-112.2936572,33.4482806,0.31027,0.31027,0,,,24091.0,poi,POINT (-112.2936572 33.4482806),-1.0
35105,-112.2934916,33.4487079,0.278875,0.278875,0,,,24092.0,poi,POINT (-112.2934916 33.4487079),-1.0
35106,-112.2935111,33.4488302,0.299115,0.299115,0,,,24093.0,poi,POINT (-112.2935111 33.4488302),-1.0
35107,-112.293481,33.4489658,0.28864999999999996,0.28864999999999996,0,,,24094.0,poi,POINT (-112.293481 33.4489658),-1.0
35108,-112.29353,33.4491062,0.24230499999999996,0.24230499999999996,0,,,24095.0,poi,POINT (-112.29353 33.4491062),-1.0
35109,-112.2935481,33.4492463,0.2231,0.2231,0,,,24096.0,poi,POINT (-112.2935481 33.4492463),-1.0
35110,-112.2934592,33.4494425,0.27347,0.27347,0,,,24097.0,poi,POINT (-112.2934592 33.4494425),-1.0
35111,-112.2932992,33.4495055,0.26990499999999995,0.26990499999999995,0,,,24098.0,poi,POINT (-112.2932992 33.4495055),-1.0
35112,-112.2930535,33.4494998,0.28784499999999996,0.28784499999999996,0,,,24099.0,poi,POINT (-112.2930535 33.4494998),-1.0
35113,-112.2929046,33.4494788,0.30498,0.30498,0,,,24100.0,poi,POINT (-112.2929046 33.4494788),-1.0
35114,-112.2927419,33.4494878,0.34695499999999996,0.34695499999999996,0,,,24101.0,poi,POINT (-112.2927419 33.4494878),-1.0
35115,-112.2925791,33.4494681,0.3176299999999999,0.3176299999999999,0,,,24102.0,poi,POINT (-112.2925791 33.4494681),-1.0
35116,-112.2924132,33.4494579,0.3391349999999999,0.3391349999999999,0,,,24103.0,poi,POINT (-112.2924132 33.4494579),-1.0
35117,-112.2922498,33.4494296,0.30325499999999994,0.30325499999999994,0,,,24104.0,poi,POINT (-112.2922498 33.4494296),-1.0
35118,-112.2920863,33.4494404,0.33764,0.33764,0,,,24105.0,poi,POINT (-112.2920863 33.4494404),-1.0
35119,-112.2919219,33.449458,0.30877499999999997,0.30877499999999997,0,,,24106.0,poi,POINT (-112.2919219 33.449458),-1.0
35120,-112.2917435,33.4494893,0.28796,0.28796,0,,,24107.0,poi,POINT (-112.2917435 33.4494893),-1.0
35121,-112.2915958,33.4495041,0.30728,0.30728,0,,,24108.0,poi,POINT (-112.2915958 33.4495041),-1.0
35122,-112.2914296,33.4495066,0.279335,0.279335,0,,,24109.0,poi,POINT (-112.2914296 33.4495066),-1.0
35123,-112.2910993,33.4495179,0.307395,0.307395,0,,,24110.0,poi,POINT (-112.2910993 33.4495179),-1.0
35124,-112.2912673,33.4495062,0.34799,0.34799,0,,,24111.0,poi,POINT (-112.2912673 33.4495062),-1.0
35125,-112.2909088,33.4495284,0.3299349999999999,0.3299349999999999,0,,,24112.0,poi,POINT (-112.2909088 33.4495284),-1.0
35126,-112.2907034,33.4494383,0.306705,0.306705,0,,,24113.0,poi,POINT (-112.2907034 33.4494383),-1.0
35127,-112.2904645,33.4492567,0.30152999999999996,0.30152999999999996,0,,,24114.0,poi,POINT (-112.2904645 33.4492567),-1.0
35128,-112.290352,33.4491081,0.33902,0.33902,0,,,24115.0,poi,POINT (-112.290352 33.4491081),-1.0
35129,-112.2903015,33.4489621,0.28761499999999995,0.28761499999999995,0,,,24116.0,poi,POINT (-112.2903015 33.4489621),-1.0
35130,-112.2903072,33.4488005,0.33925,0.33925,0,,,24117.0,poi,POINT (-112.2903072 33.4488005),-1.0
