link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1100,30573,Major arterial,43288,43748,"LINESTRING (-111.067493 31.915513, -111.079990 31.903379)",1.914710,1.190000,1.190000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,22.0,22.0,1800.0,0.0,0.0122,1.2,0.0,0.0,22.0,22.0,1800.000,0.000,0.0122,1.190,0.000,0.000,
1101,30574,Major arterial,43702,43676,"LINESTRING (-111.024642 31.867027, -111.043250 31.870526)",1.930800,1.200000,1.500000,77.232000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,77.2,1750.0,1.0,85.0,85.0,1750.0,0.0,0.0486,1.5,0.0,0.0,85.0,85.0,1750.000,0.000,0.0486,1.500,0.000,0.000,
1102,30574,Major arterial,43676,43702,"LINESTRING (-111.043252 31.870518, -111.024644 31.867019)",1.930800,1.200000,1.500000,77.232000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,77.2,1750.0,1.0,27.0,27.0,1750.0,0.0,0.0154,1.5,0.0,0.0,27.0,27.0,1750.000,0.000,0.0154,1.500,0.000,0.000,
1103,30575,connector,898,43749,"LINESTRING (-111.045833 31.946234, -111.046413 31.957409)",1.238930,0.770000,3.080000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,59.4,59.4,9999.0,0.0,0.0059,3.1,0.0,0.0,59.4,59.4,9999.000,0.000,0.0059,3.080,0.000,0.000,
1104,30575,connector,43749,898,"LINESTRING (-111.046421 31.957409, -111.045841 31.946234)",1.238930,0.770000,3.080000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,16.0,16.0,9999.0,0.0,0.0016,3.1,0.0,0.0,16.0,16.0,9999.000,0.000,0.0016,3.080,0.000,0.000,
1105,30576,Major arterial,43749,43741,"LINESTRING (-111.046417 31.957413, -111.074898 31.957192)",2.687030,1.670000,1.670000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,19.0,19.0,1800.0,0.0,0.0106,1.7,0.0,0.0,19.0,19.0,1800.000,0.000,0.0106,1.670,0.000,0.000,
1106,30576,Major arterial,43741,43749,"LINESTRING (-111.074898 31.957184, -111.046417 31.957405)",2.687030,1.670000,1.670000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,48.0,48.0,1800.0,0.0,0.0267,1.7,0.0,0.0,48.0,48.0,1800.000,0.000,0.0267,1.670,0.000,0.000,
1107,30577,Major arterial,43741,43744,"LINESTRING (-111.074901 31.957186, -111.064349 31.943296)",1.882530,1.170000,1.170000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,20.0,20.0,1800.0,0.0,0.0111,1.2,0.0,0.0,20.0,20.0,1800.000,0.000,0.0111,1.170,0.000,0.000,
1108,30577,Major arterial,43744,43741,"LINESTRING (-111.064343 31.943300, -111.074895 31.957190)",1.882530,1.170000,1.170000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,24.0,24.0,1800.0,0.0,0.0133,1.2,0.0,0.0,24.0,24.0,1800.000,0.000,0.0133,1.170,0.000,0.000,
1109,30578,Major arterial,43744,43707,"LINESTRING (-111.064350 31.943297, -111.060215 31.926696)",1.882530,1.170000,1.170000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,22.0,22.0,1800.0,0.0,0.0122,1.2,0.0,0.0,22.0,22.0,1800.000,0.000,0.0122,1.170,0.000,0.000,
1110,30578,Major arterial,43707,43744,"LINESTRING (-111.060207 31.926698, -111.064342 31.943299)",1.882530,1.170000,1.170000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,10.0,10.0,1800.0,0.0,0.0056,1.2,0.0,0.0,10.0,10.0,1800.000,0.000,0.0056,1.170,0.000,0.000,
1111,30579,Major arterial,43679,43749,"LINESTRING (-111.020821 31.957691, -111.046417 31.957413)",2.413500,1.500000,1.500000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,30.0,30.0,1800.0,0.0,0.0167,1.5,0.0,0.0,30.0,30.0,1800.000,0.000,0.0167,1.500,0.000,0.000,
1112,30579,Major arterial,43749,43679,"LINESTRING (-111.046417 31.957405, -111.020821 31.957683)",2.413500,1.500000,1.500000,96.540000,0.000000,1800.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,96.5,1800.0,1.0,102.4,102.4,1800.0,0.0,0.0569,1.5,0.0,0.0,102.4,102.4,1800.000,0.000,0.0569,1.500,0.000,0.000,
1113,30580,connector,828,43696,"LINESTRING (-110.979897 31.758089, -111.008904 31.755923)",2.751390,1.710000,6.840000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,1.0,1.0,9999.0,0.0,0.0001,6.8,0.0,0.0,1.0,1.0,9999.000,0.000,0.0001,6.840,0.000,0.000,
1114,30580,connector,43696,828,"LINESTRING (-111.008904 31.755915, -110.979897 31.758081)",2.751390,1.710000,6.840000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,0.0,0.0,9999.0,0.0,0.0000,6.8,0.0,0.0,0.0,0.0,9999.000,0.000,0.0000,6.840,0.000,0.000,
1115,30581,connector,939,43682,"LINESTRING (-111.001862 31.848682, -110.999771 31.848455)",0.193080,0.120000,0.480000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,75.0,75.0,9999.0,0.0,0.0075,0.5,0.0,0.0,75.0,75.0,9999.000,0.000,0.0075,0.480,0.000,0.000,
