node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry
7612,-96.6632734,43.4964477,10,10,0,,,,residential,POINT (-96.6632734 43.4964477)
7613,-96.6645911,43.4964699,10,10,0,,,,residential,POINT (-96.6645911 43.4964699)
7614,-96.6667328,43.4965677,10,10,0,,,,residential,POINT (-96.6667328 43.4965677)
7615,-96.6688386,43.4966638,10,10,0,,,,residential,POINT (-96.6688386 43.4966638)
7616,-96.6715226,43.4964068,10,10,0,,,,residential,POINT (-96.6715226 43.4964068)
7617,-96.6518703,43.5490676,50,50,0,,,,trunk,POINT (-96.6518703 43.5490676)
7618,-96.6507911,43.558257,50,50,0,signal,,,trunk,POINT (-96.6507911 43.558257)
7620,-96.6465872,43.5728679,50,50,1,,,,trunk,POINT (-96.6465872 43.5728679)
7621,-96.6482395,43.5660393,10,10,0,,,,residential,POINT (-96.6482395 43.5660393)
7622,-96.6509169,43.5586742,50,50,0,signal,,,trunk,POINT (-96.6509169 43.5586742)
7624,-96.6254157,43.5583836,50,50,0,,,,secondary,POINT (-96.6254157 43.5583836)
7625,-96.6161985,43.5584399,50,50,0,,,,secondary,POINT (-96.6161985 43.5584399)
7626,-96.5928065,43.558448,50,50,2,,,,secondary,POINT (-96.5928065 43.558448)
7627,-96.6479516,43.5659807,10,10,0,,,,residential,POINT (-96.6479516 43.5659807)
7628,-96.6463661,43.5728611,50,50,-1,,,,trunk,POINT (-96.6463661 43.5728611)
7629,-96.644838,43.609608,50,50,0,,,,motorway,POINT (-96.644838 43.609608)
7630,-96.5815269,43.6088808,50,50,-1,,,,motorway,POINT (-96.5815269 43.6088808)
7631,-96.6514677,43.6087781,50,50,0,,,,motorway,POINT (-96.6514677 43.6087781)
7632,-96.7655196,43.5089998,10,10,2,,,,residential,POINT (-96.7655196 43.5089998)
7633,-96.6812915,43.494139,10,10,0,,,,residential,POINT (-96.6812915 43.494139)
7634,-96.6779709,43.49971,10,10,0,,,,residential,POINT (-96.6779709 43.49971)
